Instance,GomoryPasses,MIRCuts,FlowCoverCuts,CliqueCuts,Runtime_sec,NodeCount
markshare_4_0.mps,0,-1,-1,1,0.44086503982543945,5085.0
markshare_4_0.mps,0,-1,0,-1,0.43831658363342285,5085.0
markshare_4_0.mps,0,-1,0,0,0.4294009208679199,5085.0
markshare_4_0.mps,0,-1,0,1,0.42623257637023926,5085.0
markshare_4_0.mps,0,-1,1,-1,0.45719385147094727,5085.0
markshare_4_0.mps,0,-1,1,0,0.6201767921447754,5085.0
markshare_4_0.mps,0,-1,1,1,0.5605208873748779,5085.0
markshare_4_0.mps,0,0,-1,-1,0.6308009624481201,5406.0
markshare_4_0.mps,0,0,-1,0,0.6105244159698486,5406.0
markshare_4_0.mps,0,0,-1,1,0.4721348285675049,5406.0
markshare_4_0.mps,0,0,0,-1,0.5652868747711182,5406.0
markshare_4_0.mps,0,0,0,0,0.4876737594604492,5406.0
markshare_4_0.mps,0,0,0,1,0.46837830543518066,5406.0
markshare_4_0.mps,0,0,1,-1,0.4728827476501465,5406.0
markshare_4_0.mps,0,0,1,0,0.4699540138244629,5406.0
markshare_4_0.mps,0,0,1,1,0.4769411087036133,5406.0
markshare_4_0.mps,0,1,-1,-1,0.42339563369750977,5085.0
markshare_4_0.mps,0,1,-1,0,0.4927999973297119,5085.0
markshare_4_0.mps,0,1,-1,1,0.4416501522064209,5085.0
markshare_4_0.mps,0,1,0,-1,0.4350857734680176,5085.0
markshare_4_0.mps,0,1,0,0,0.43926429748535156,5085.0
markshare_4_0.mps,0,1,0,1,0.43003106117248535,5085.0
markshare_4_0.mps,0,1,1,-1,0.5040369033813477,5085.0
markshare_4_0.mps,0,1,1,0,0.43877172470092773,5085.0
markshare_4_0.mps,0,1,1,1,0.4265322685241699,5085.0
markshare_4_0.mps,1,-1,-1,-1,0.6486043930053711,7177.0
markshare_4_0.mps,1,-1,-1,0,0.6986339092254639,7177.0
markshare_4_0.mps,1,-1,-1,1,0.6623499393463135,7177.0
markshare_4_0.mps,1,-1,0,-1,0.6481044292449951,7177.0
markshare_4_0.mps,1,-1,0,0,0.6512770652770996,7177.0
markshare_4_0.mps,1,-1,0,1,0.7832207679748535,7177.0
markshare_4_0.mps,1,-1,1,-1,0.6471982002258301,7177.0
markshare_4_0.mps,1,-1,1,0,0.7065343856811523,7177.0
markshare_4_0.mps,1,-1,1,1,0.692965030670166,7177.0
markshare_4_0.mps,1,0,-1,-1,0.5991792678833008,5344.0
markshare_4_0.mps,1,0,-1,0,0.5935301780700684,5344.0
markshare_4_0.mps,1,0,-1,1,0.5932600498199463,5344.0
markshare_4_0.mps,1,0,0,-1,0.6146693229675293,5344.0
markshare_4_0.mps,1,0,0,0,0.6154124736785889,5344.0
markshare_4_0.mps,1,0,0,1,0.6082093715667725,5344.0
markshare_4_0.mps,1,0,1,-1,0.6104512214660645,5344.0
markshare_4_0.mps,1,0,1,0,0.6021196842193604,5344.0
markshare_4_0.mps,1,0,1,1,0.6030333042144775,5344.0
markshare_4_0.mps,1,1,-1,-1,0.6773147583007812,7177.0
markshare_4_0.mps,1,1,-1,0,0.8291103839874268,7177.0
markshare_4_0.mps,1,1,-1,1,0.6682860851287842,7177.0
markshare_4_0.mps,1,1,0,-1,0.6538994312286377,7177.0
markshare_4_0.mps,1,1,0,0,0.7113370895385742,7177.0
markshare_4_0.mps,1,1,0,1,0.6491823196411133,7177.0
markshare_4_0.mps,1,1,1,-1,0.6786208152770996,7177.0
markshare_4_0.mps,1,1,1,0,0.656496524810791,7177.0
markshare_4_0.mps,1,1,1,1,0.6670396327972412,7177.0
mas74.mps,-1,-1,-1,-1,120.02633738517761,1591125.0
mas74.mps,-1,-1,-1,0,120.03086447715759,1658050.0
mas74.mps,-1,-1,-1,1,120.02248358726501,1648484.0
mas74.mps,-1,-1,0,-1,120.05268168449402,1498089.0
mas74.mps,-1,-1,0,0,120.06244778633118,1485355.0
mas74.mps,-1,-1,0,1,120.06438565254211,1502195.0
mas74.mps,-1,-1,1,-1,120.03974652290344,1050848.0
mas74.mps,-1,-1,1,0,120.04620814323425,1033581.0
